univ_4_short.sl,TO
11440431.sl,TO
11604909.sl,TO_FAIL
12948338.sl,0.157
17212077.sl,0.019
19274448.sl,0.014
19558979.sl,TO_FAIL
2171308.sl,0.034
23435880.sl,0.038
25239569.sl,TO
28627624_1.sl,0.048
30732554.sl,0.033
31753108.sl,0.084
33619752.sl,TO_FAIL
34801680.sl,0.039
35016216.sl,TO_FAIL
35744094.sl,TO_FAIL
36462127.sl,0.019
37281007.sl,0.011
37534494.sl,TO_FAIL
38664547.sl,TO_FAIL
38871714.sl,TO
39060015.sl,TO
40498040.sl,0.027
41503046.sl,TO_FAIL
43120683.sl,TO_FAIL
43606446.sl,0.027
44789427.sl,TO_FAIL
add-a-line-break-with-a-formula.sl,TO_FAIL
bikes_small.sl,0.018
bikes.sl,0.014
bikes-long.sl,0.019
bikes-long-repeat.sl,0.017
cell-contains-all-of-many-things.sl,0.105
cell-contains-number.sl,0.045
cell-contains-one-of-many-things.sl,0.077
cell-contains-one-of-many-with-exclusions.sl,0.053
cell-contains-some-words-but-not-others.sl,0.072
cell-contains-specific-text.sl,0.043
cell-equals-one-of-many-things.sl,0.014
change-negative-numbers-to-positive.sl,TO_FAIL
clean-and-reformat-telephone-numbers.sl,0.045
compare-two-strings.sl,0.018
convert-numbers-to-text.sl,TO_FAIL
convert-text-to-numbers.sl,0.008
count-consecutive-monthly-orders.sl,0.014
count-line-breaks-in-cell.sl,0.012
count-specific-characters-in-a-cell.sl,0.015
count-specific-words-in-a-cell.sl,0.037
count-total-characters-in-a-cell.sl,0.013
count-total-words-in-a-cell.sl,0.027
create-email-address-from-name.sl,TO_FAIL
create-email-address-with-name-and-domain.sl,TO_FAIL
dr-name_small.sl,0.038
dr-name.sl,0.032
dr-name-long.sl,0.065
dr-name-long-repeat.sl,0.064
exceljet1.sl,TO_FAIL
exceljet2.sl,0.025
exceljet3.sl,TO_FAIL
exceljet4.sl,0.044
extract-nth-word-from-text-string.sl,TO_FAIL
extract-text-between-parentheses.sl,0.014
extract-word-containing-specific-text.sl,TO_FAIL
extract-word-that-begins-with-specific-character.sl,TO_FAIL
find-nth-occurrence-of-character.sl,0.033
firstname_small.sl,0.018
firstname.sl,0.019
firstname-long.sl,0.064
firstname-long-repeat.sl,0.06
get-domain-from-email-address_2.sl,TO_FAIL
get-domain-name-from-url.sl,TO
get-first-name-from-name.sl,0.033
get-first-name-from-name-with-comma.sl,TO_FAIL
get-first-word.sl,TO_FAIL
get-last-line-in-cell.sl,0.067
get-last-name-from-name.sl,0.017
get-last-name-from-name-with-comma.sl,0.02
get-last-word.sl,0.035
get-middle-name-from-full-name.sl,TO_FAIL
initials_small.sl,0.031
initials.sl,0.029
initials-long.sl,0.075
initials-long-repeat.sl,0.094
join-cells-with-comma.sl,TO_FAIL
join-first-and-last-name.sl,TO_FAIL
