benchmark,time,vsasize
stackoverflow-8,59.085,1
mathworks-9,40.413,118
mathworks-8,3.849,65
stackoverflow-16,106.637,1
mathworks-10,158.711,16
mathworks-11,77.168,1
stackoverflow-17,60.989,1
stackoverflow-15,10.685,42
mathworks-13,15.843,1
mathworks-12,76.42,1
stackoverflow-14,TO,
stackoverflow-10,5.472,72
stackoverflow-11,5.484,1
stackoverflow-13,369.423,450
stackoverflow-12,50.508,136
stackoverflow-23,442.737,225
stackoverflow-22,3.567,62
stackoverflow-20,49.447,14
stackoverflow-21,17.734,1
stackoverflow-25,112.311,136
stackoverflow-19,11.639,1
stackoverflow-18,17.607,34
stackoverflow-24,76.304,141
mathworks-5,5.268,56
stackoverflow-2,60.693,1
stackoverflow-3,170.632,182
mathworks-4,647.169,216
mathworks-6,94.292,1
stackoverflow-1,3.834,65
mathworks-7,5.476,73
mathworks-3,17.915,1
stackoverflow-4,508.599,1
stackoverflow-5,56.962,1
mathworks-2,20.118,55
stackoverflow-7,290.591,1
stackoverflow-6,13.532,100
mathworks-1,227.838,205
mathworks-14,TO,
stackoverflow-9,TO,
